keyword,part_number,manufacturer,desc,supply_situation,datasheet_url,image_url,price_ladder
STM32F103C8T6,STM32F103C8T6,STMicroelectronics,ARM微控制器 - MCU 32BIT Cortex M3 64KB 20KB RAM 2X12 ADC,,,https://www.mouser.cn/images/mouserelectronics/sm/LQFP_48_t.jpg,"[{'qty': '1', 'price': '¥45.8215'}, {'qty': '10', 'price': '¥33.2559'}, {'qty': '25', 'price': '¥30.3518'}, {'qty': '50', 'price': '¥30.2727'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
STM32F103C8T6,STM32F103C8T6TR,STMicroelectronics,ARM微控制器 - MCU 32BIT Cortex M3 USB 7 TIMERS 2 ADCS CAN,,,https://www.mouser.cn/images/mouserelectronics/sm/LQFP_48_t.jpg,"[{'qty': '1', 'price': '¥50.2963'}, {'qty': '10', 'price': '¥38.6234'}, {'qty': '25', 'price': '¥35.6515'}, {'qty': '100', 'price': '¥32.4197'}, {'qty': '2,400', 'price': '¥29.0297'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
STM32F103C8T6,CS-YMFC-01,Crowd Supply,开发板和工具包 - ARM mini drone PCB,,,https://www.mouser.cn/images/crowdsupply/sm/cs-ymfc-01_SPL.jpg,[]
电容,EV64Z42A,Microchip Technology,触摸传感器开发工具 MTCH2120 Evaluation Kit,,,https://www.mouser.cn/images/microchiptechnology/sm/EV64Z42A_SPL.JPG,"[{'qty': '1', 'price': '¥661.6489'}]"
电容,ED-HMI3120-101C-10432-S,EDATEC,"平板电脑 10.1'' Industrial HMI based on Raspberry Pi CM5, with Wifi & Bluetooth,4GB RAM, 32GB Emmc,1 WiFi antenna,2 RS232, 2 RS485and a supercapacitor module.",,,https://www.mouser.cn/images/edatec/sm/ED-HMI3120-101C-10432-S_SPL.jpg,"[{'qty': '1', 'price': '¥2,455.4222'}, {'qty': '10', 'price': '¥2,351.6204'}, {'qty': '25', 'price': '¥2,299.7534'}]"
电容,MMBZ33VB-QCZ,Nexperia,ESD保护二极管/TVS二极管 Low capacitance bidirectional dual line ESD protection diode,,,https://www.mouser.cn/images/nexperia/sm/DFN1412D-3_SPL.jpg,"[{'qty': '1', 'price': '¥3.8081'}, {'qty': '10', 'price': '¥2.6329'}, {'qty': '100', 'price': '¥1.2882'}, {'qty': '500', 'price': '¥1.07576'}, {'qty': '5,000', 'price': '¥0.57856'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,MMBZ33VZ-LSYL,Nexperia,ESD保护二极管/TVS二极管 Low capacitance bidirectional single line ESD protection diode,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥2.486'}, {'qty': '10', 'price': '¥1.7402'}, {'qty': '100', 'price': '¥0.85202'}, {'qty': '500', 'price': '¥0.7119'}, {'qty': '10,000', 'price': '¥0.33109'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,MMBZ33VB-QBZ,Nexperia,ESD保护二极管/TVS二极管 Low capacitance bidirectional dual line ESD protection diode,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥3.39'}, {'qty': '10', 'price': '¥2.3278'}, {'qty': '100', 'price': '¥1.1413'}, {'qty': '500', 'price': '¥0.95146'}, {'qty': '5,000', 'price': '¥0.51302'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,MMBZ27VB-QCZ,Nexperia,ESD保护二极管/TVS二极管 Low capacitance bidirectional dual line ESD protection diode,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥3.8081'}, {'qty': '10', 'price': '¥2.6329'}, {'qty': '100', 'price': '¥1.2882'}, {'qty': '500', 'price': '¥1.07576'}, {'qty': '5,000', 'price': '¥0.57856'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,gen4-RP2350-43CT-CLB,4D Systems,"显示模块 4.3"", 800x480 pixels, slim Intelligent Display Module with embedded Raspberry Pi RP2350 with Capacitive Touch Cover Lens Bezel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥868.518'}, {'qty': '10', 'price': '¥759.9928'}]"
电容,gen4-RP2350-50CT-CLB,4D Systems,"显示模块 5.0"", 800x480 pixels, slim Intelligent Display Module with embedded Raspberry Pi RP2350 with Capacitive Touch Cover Lens Bezel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥951.234'}, {'qty': '10', 'price': '¥832.3693'}]"
电容,gen4-RP2350-28CT,4D Systems,"显示模块 2.8"", 240x320 pixels, slim Intelligent Display Module with embedded Raspberry Pi Pi RP2350 with Capacitive Touch Panel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥463.2096'}, {'qty': '10', 'price': '¥405.3084'}]"
电容,RP2350-90CT-CLB,4D Systems,"显示模块 9.0"", 800x480 pixels, slim Intelligent Display Module with embedded Raspberry Pi RP2350 with Capacitive Touch Cover Lens Bezel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1,447.53'}, {'qty': '10', 'price': '¥1,266.6283'}]"
电容,gen4-RP2350-32CT-CLB,4D Systems,"显示模块 3.2"", 240x320 pixels, slim Intelligent Display Module with embedded Raspberry Pi Pi RP2350 with Capacitive Touch Cover Lens Bezel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥570.7404'}, {'qty': '10', 'price': '¥499.4374'}]"
电容,gen4-RP2350-70CT-CLB,4D Systems,"显示模块 7.0"", 800x480 pixels, slim Intelligent Display Module with embedded Raspberry Pi RP2350 with Capacitive Touch Cover Lens Bezel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1,033.95'}, {'qty': '10', 'price': '¥904.7458'}]"
电容,AFL4-W10-RK3568-R10,IEI,"平板电脑 10.1"" 420cd/m 1280x800 fanless Panel PC with RK3568 on-board Processor , 4GB LPDDR4 on-board , 32GB Emmc,Option:802.11a/b/g/n/ac/ax WiFi&Bluetooth5.2 module, PCAP touch,Debian10 OS,R10",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥3,332.3022'}, {'qty': '10', 'price': '¥3,209.0531'}, {'qty': '25', 'price': '¥3,091.1828'}]"
电容,ED-HMI3120-101C-10432-4EU-S,EDATEC,"平板电脑 10.1'' Industrial HMI based on Raspberry Pi CM5, with Wifi & Bluetooth,4GB RAM, 32GB Emmc,1 WiFi antenna,1 4G module,1 4G(EU) antenna,2 RS232, 2 RS485and a supercapacitor module.",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥2,787.6083'}, {'qty': '10', 'price': '¥2,669.6589'}, {'qty': '25', 'price': '¥2,610.8424'}]"
电容,CAP1203-1-AC3-TR,Microchip Technology,电容触摸传感器 3-Channel Capacitive Touch Sensor,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥5.7856'}, {'qty': '25', 'price': '¥5.2884'}, {'qty': '100', 'price': '¥4.8025'}, {'qty': '3,300', 'price': '¥4.8025'}]"
电容,CAP1208-1-A4-TR,Microchip Technology,电容触摸传感器 8-Channel Capacitive Touch Sensor,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥9.266'}, {'qty': '25', 'price': '¥8.5993'}, {'qty': '100', 'price': '¥7.6953'}, {'qty': '5,000', 'price': '¥7.6953'}]"
电容,IQS396001QFR,Azoteq,"电容触摸传感器 Haptics LRA driver with internal H-bridge,1 Inductive / Capacitive Channel",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥5.7065'}, {'qty': '5', 'price': '¥4.7799'}, {'qty': '10', 'price': '¥4.4409'}, {'qty': '50', 'price': '¥3.7516'}, {'qty': '2,000', 'price': '¥2.4182'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,FPM-7211W-P3AE,Advantech,"显示模块 215"" Industrial Monitor, with PCT touch",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥11,654.6844'}]"
电容,ESD7004MUTAG,onsemi,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection Diode,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥2.3956'}, {'qty': '10', 'price': '¥2.147'}, {'qty': '100', 'price': '¥1.5255'}, {'qty': '500', 'price': '¥1.2204'}, {'qty': '1,000', 'price': '¥0.98423'}, {'qty': '3,000', 'price': '¥0.77744'}]"
电容,PS4312-DFA_R1_00301,Panjit,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥3.7177'}, {'qty': '10', 'price': '¥2.5877'}, {'qty': '100', 'price': '¥1.2656'}, {'qty': '500', 'price': '¥1.05881'}, {'qty': '3,000', 'price': '¥0.62828'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,SM-RVT50HQSNWC01-B,Riverdi,"TFT 显示器 & 附件 STM32 5"" CTP Optical Bonding",,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1,242.0621'}]"
电容,PS1405-D32_R1_00301,Panjit,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1.5707'}, {'qty': '10', 'price': '¥1.08367'}, {'qty': '100', 'price': '¥0.52884'}, {'qty': '500', 'price': '¥0.44635'}, {'qty': '10,000', 'price': '¥0.20679'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,PS2405-D63_R1_00501,Panjit,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥2.2374'}, {'qty': '10', 'price': '¥1.5142'}, {'qty': '100', 'price': '¥0.74467'}, {'qty': '500', 'price': '¥0.62037'}, {'qty': '10,000', 'price': '¥0.28928'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,PS1705-D32_R1_00301,Panjit,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1.8984'}, {'qty': '10', 'price': '¥1.3108'}, {'qty': '100', 'price': '¥0.63732'}, {'qty': '500', 'price': '¥0.53788'}, {'qty': '10,000', 'price': '¥0.2486'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
电容,PS1703-D32_R1_00301,Panjit,ESD保护二极管/TVS二极管 Low Capacitance ESD Protection,,,https://www.mouser.cn/images/skeleton.png,"[{'qty': '1', 'price': '¥1.9888'}, {'qty': '10', 'price': '¥1.356'}, {'qty': '100', 'price': '¥0.66218'}, {'qty': '500', 'price': '¥0.5537'}, {'qty': '10,000', 'price': '¥0.25651'}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}, {'qty': '', 'price': ''}]"
